,precision,recall,f1-score,support,AUC
Low,1.0,1.0,1.0,168.0,1.0
Medium,1.0,1.0,1.0,59.0,1.0
High,1.0,1.0,1.0,40.0,1.0
accuracy,1.0,1.0,1.0,1.0,
macro avg,1.0,1.0,1.0,267.0,1.0
weighted avg,1.0,1.0,1.0,267.0,
micro avg,,,,,1.0
